X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process
183.5,2.925,47.25,183.5,2.83,1.96,-0.284,2.79E-19,329,0,0,119.4,2.15,6.625,119.4,2.16,4.265,-0.0839,2.68E-19,333,0,-1.47E-06,77.25,3.5,3.5,77.25,3.5,3.5,0,0,0,0,-438,30.2005,17.3435,-437.5,30.15,3.5,-1.86,0,332,0,0,15.5,1,2,50,Prep
183.5,2.825,47.25,183.5,2.68,2.06,-0.284,2.79E-19,329,0,0,119.3,2.39,34.75,119.25,2.245,4.435,-0.0839,2.68E-19,333,0,-1.47E-06,77.25,3.5125,9.75,77.25,3.5,3.5,0,0,0,0,-435,30.1505,9.1935,-435,30.15,3.5,-1.86,0,332,0,0,15.5,0,0,50,Prep
183.5,2.625,47.25,183.5,2.54,2.175,1.17,2.78E-19,325,0,9.16E-07,119.15,2.3,-5.9,119.15,2.345,4.595,-0.709,2.69E-19,327,0,6.77E-07,77.25,3.5,3.5,77.25,3.5,3.5,0,0,0,0,600,30.200125,2.8425,600,30.15,3.500000477,-0.176,2.78E-19,324,0,-8.59E-07,15.5,0,0,50,Prep
183,2.435,31.65,183,2.415,2.31,-0.23,2.79E-19,329,0,-2.30E-07,119.05,2.415,12.9,119.05,2.46,4.74,-1.34,2.68E-19,333,0,0,77.25,3.4875,-2.75,77.25,3.5,3.5,0,0,0,0,-430,30.200375,8.469,-429.5,30.15,3.5,-1.17,0,332,0,-6.29E-06,15.5,4,0,50,Prep
183,2.4,37.85,183,2.305,2.46,-0.23,2.79E-19,329,0,-2.30E-07,118.95,2.585,9.75,118.95,2.595,4.865,-1.34,2.68E-19,333,0,0,77.25,3.5,6.625,77.25,3.5,3.5,0,0,0,0,-427,30.150375,-6.956,-427,30.15,3.5,-1.17,0,332,0,-6.29E-06,15.5,0,0,50,Prep
183,2.275,12.9,183,2.21,2.62,-2.45,2.78E-19,325,0,0,118.85,2.75,6.625,118.85,2.735,4.975,-0.0701,2.69E-19,327,0,2.82E-09,77.25,3.5,3.5,77.25,3.5,3.5,0,0,0,0,608,30.25,27.1,608,30.15,3.5,-0.0861,2.78E-19,324,0,1.66E-06,15.5,0,0,50,Prep
183,2.11,19.15,183,2.13,2.795,-0.638,2.79E-19,328,0,-7.87E-07,118.8,2.885,9.75,118.8,2.89,5.065,-0.723,2.68E-19,332,0,3.70E-07,77.25,3.5125,6.625,77.25,3.5,3.5,0,0,0,0,-422,30.15,-4.3,-421.5,30.15,3.5,-1.58,0,331,0,0,15.5,1,2,50,Prep
182.5,2.085,-2.75,182.5,2.07,2.98,-0.638,2.79E-19,328,0,-7.87E-07,118.75,3.025,12.9,118.75,3.0485,5.135,-0.723,2.68E-19,332,0,3.70E-07,77.25,3.5,3.5,77.25,3.5,3.5,0,0,0,0,-419,30.15,13.85,-419,30.15,3.500000477,-1.58,0,331,0,0,15.5,0,0,50,Prep
182.5,2.125,22.25,182.5,2.025,3.17,-0.711,2.78E-19,325,0,1.72E-06,118.7,3.2375,22.25,118.7,3.215,5.185,-0.23,2.69E-19,326,0,0,77.25,3.5,3.5,77.25,3.5,3.5,0,0,0,0,616,30.2005,11.55,616,30.15,3.5,0.207,2.78E-19,323,0,1.18E-06,15.5,0,0,50,Prep
182.5,2.1,28.5,182.5,2.005,3.365,-0.584,2.79E-19,328,0,-5.37E-07,118.7,3.4125,16,118.7,3.3855,5.215,-0.0839,2.68E-19,332,0,0,77.25,3.5,9.75,77.25,3.5,3.5,0,0,0,0,-414,30.15,-28.006,-413.5,30.15,3.5,-1.23,0,331,0,-7.26E-06,15.5,4,0,50,Prep
183.5,3.2375,-24.65,183.5,3.2665,1.8,-0.584,2.79E-19,328,0,-5.37E-07,119.8,2.04,-12.15,119.8,2.02,3.764,-0.0839,2.68E-19,332,0,0,76.75,3.525,12.875,76.75,3.5,3.5,0,0,0,0,-782,30.2,20.744,-782,30.15,3.500000477,-1.23,0,331,0,-7.26E-06,15.5,0,0,50,Prep
183.5,3.05,-27.75,183.5,3.0985,1.845,-0.214,2.78E-19,325,0,0,119.65,2.11,0.375,119.65,2.055,3.956,-0.709,2.69E-19,327,0,3.68E-06,76.75,3.5125,9.75,76.75,3.5,3.5,0,0,0,0,253,30.15,-6.75,253,30.15,3.499999523,0.297,2.78E-19,324,0,-3.58E-06,15.5,0,0,50,Prep
183.5,2.915,-27.75,183.5,2.95,1.9,0.207,2.79E-19,328,0,0,119.5,1.96,-2.75,119.5,2.105,4.13,-1.36,2.68E-19,332,0,0,76.75,3.525,12.875,76.75,3.5,3.5,0,0,0,0,-777,30.2005,18.375,-777,30.15,3.5,-1.92,0,331,0,0,15.5,1,2,50,Prep
183.5,2.75,-37.1,183.5,2.795,1.985,0.207,2.79E-19,328,0,0,119.4,2.175,0.375,119.35,2.175,4.305,-1.36,2.68E-19,332,0,0,76.75,3.5125,6.625,76.75,3.5,3.5,0,0,0,0,-774.5,30.2005,3.5625,-774,30.15,3.500000477,-1.92,0,331,0,0,15.5,0,0,50,Prep
183.5,2.56,-9,183.5,2.635,2.095,0.847,2.78E-19,324,0,2.90E-06,119.25,2.275,12.9,119.25,2.275,4.485,-1.03,2.69E-19,326,0,0,76.75,3.5125,9.75,76.75,3.5,3.5,0,0,0,0,261,30.199,18.325,261,30.15,3.5,0.118,2.78E-19,323,0,0,15.5,0,0,50,Prep
183,2.51,-18.4,183,2.51,2.205,0.399,2.79E-19,328,0,-6.37E-07,119.15,2.4,0.375,119.1,2.37,4.63,-2.62,2.68E-19,332,0,7.11E-08,76.75,3.5,3.5,76.75,3.5,3.5,0,0,0,0,-769,30.2005,22.5,-769,30.15,3.5,-1.52,0,331,0,-6.65E-06,15.5,4,0,50,Prep
183,2.375,-30.85,183,2.39,2.345,0.399,2.79E-19,328,0,-6.37E-07,119.05,2.54,-2.75,119,2.495,4.77,-2.62,2.68E-19,332,0,7.11E-08,76.75,3.5125,9.75,76.75,3.5,3.5,0,0,0,0,-766.5,30.1005,-26.5,-766,30.15,3.5,-1.52,0,331,0,-6.65E-06,15.5,0,0,50,Prep
183,2.235,-18.4,183,2.28,2.495,-0.251,2.78E-19,324,0,1.02E-06,118.95,2.625,6.625,118.9,2.625,4.895,0.09,2.69E-19,326,0,-1.88E-06,76.75,3.5125,6.625,76.75,3.5,3.5,0,0,0,0,269,30.1495,12.325,269,30.15,3.5,2.53,2.78E-19,323,0,0,15.5,0,0,50,Prep
183,2.165,3.5,183,2.19,2.66,0.207,2.79E-19,328,0,-4.18E-07,118.85,2.71,-2.75,118.85,2.77,5,0.236,2.68E-19,332,0,-1.58E-07,76.75,3.5125,16.025,76.75,3.5,3.5,0,0,0,0,-761,30.1505,3.4685,-761,30.15,3.500000477,-1.46,0,331,0,0,15.5,1,2,50,Prep
