X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process
151,17.1,111,151,17,5,5.78,0.11,324,20.7,0.0028,110,5,5,110,5,5,1.14,0.0253,323,3.65,2.71E-07,33.7,5.025,17.5,33.7,5,5,0,0,0,0,1745,58.3,-23.3,1745,58.3,5,26,0.843,321,118,0.159,17,1,2,12,Prep
152,16.9,-95,152,17,5,6.37,0.0994,324,22.3,0.00245,110,5,5,110,5,5,-0.725,0.0149,323,0.575,-7.55E-08,33.7,4.975,-7.5,33.7,5,5,0,0,0,0,1755,58.3,13.62,1755,58.3,5,21.9,1.08,321,117,0.208,17,1,70,12,Prep
153,17.3,105,153,17,5,3.53,0.0864,324,21.1,0.00214,110,4.975,-7.5,110,5,5,0.756,0.0222,323,2.28,0,33.7,4.975,-7.5,33.7,5,5,0,0,0,0,1755,58.4,21.3,1755,58.3,5,24.8,0.854,321,112,0.164,17,1,70,12,Prep
154,16.9,-76.2,154,17,5,6.85,0.105,324,21.7,0.00259,110,4.975,-7.5,110,5,5,1.23,0.0307,323,3.88,0,33.7,4.975,-7.5,33.7,5,5,0,0,0,0,1765,58.3,-50.3,1765,58.3,5.000000954,23.9,0.915,321,117,0.176,17,1,70,12,Prep
156,16.7,-145,156,17,5,9.12,0.121,324,20.7,0.00297,110,5,5,110,5,5,-1.02,0.0176,323,0.871,4.67E-07,33.7,5,11.25,33.7,5,5,0,0,0,0,1765,58.2,-34.7,1765,58.3,5,28.2,0.927,317,121,0.175,17,1,70,12,Prep
157,17.3,98.7,157,17,5,3.63,0.0785,324,21.2,0.00199,110,5,5,110,5,5,0.119,0.0155,323,1.43,6.83E-07,33.7,5,5,33.7,5,5,0,0,0,0,1775,58.3,14.87,1775,58.3,5,19.8,1.1,314,115,0.212,17,1,70,12,Prep
158,17.2,136,158,17,5,4.99,0.0975,324,20.4,0.00246,110,4.975,-7.5,110,5,5,-0.341,0.0178,323,1.61,0,33.7,5,11.25,33.7,5,5,0,0,0,0,1775,58.4,54.7,1775,58.3,5,14.8,0.913,321,119,0.173,17,1,70,12,Prep
159,17.2,111,159,17,5,5.3,0.0986,324,21.6,0.00251,110,5,5,110,5,5,0.296,0.0168,323,2.89,4.04E-08,33.7,5.025,17.5,33.7,5,5,0,0,0,0,1785,58.2,-82.4,1785,58.3,5.000000954,27,1.04,317,118,0.199,17,1,70,12,Prep
160,17.2,98.7,160,17,5,5.01,0.0932,324,21.9,0.00234,110,5.025,11.25,110,5,5,-0.473,0.0163,323,0.988,0,33.7,5.025,11.25,33.7,5,5,0,0,0,0,1785,58.3,-34.3,1785,58.3,5.000000954,20.4,0.995,320,119,0.192,17,1,70,12,Prep
162,16.9,-82.5,162,17,5,7.05,0.118,324,20.9,0.00299,110,5,5,110,5,5,0.548,0.0196,323,2.66,-2.95E-07,33.7,5.025,11.25,33.7,5,5,0,0,0,0,1795,58.5,41.9,1795,58.3,4.999999046,17.1,0.755,321,115,0.142,17,1,70,12,Prep
146,5.2,98.7,146,5,5,-4.27,0.0569,324,4.52,8.63E-06,82.2,17.7,17.5,82.3,17,5,3.38,0.111,323,17.7,0.00291,34.7,5,11.25,34.7,5,5,0,0,0,0,1255,58.3,18,1255,58.3,4.999999046,22.3,0.9,317,118,0.173,17,1,2,12,Prep
