datetime,0to15,15to30,30to45,45to60,average,production,temperture,wind_velocity,humidity,rainfall,weather_cost,day,productivity,night/day_pay
2021-01-01 00:00:00,62,61,61,61,61,0,-3.2,2.4,71,0.0,109.8,5,0.0,1.5
2021-01-01 01:00:00,96,93,116,113,105,0,-4.5,1.5,77,0.0,109.8,5,0.0,1.5
2021-01-01 02:00:00,106,96,106,107,104,0,-3.9,2.6,58,0.0,109.8,5,0.0,1.5
2021-01-01 03:00:00,92,110,110,109,105,0,-4.1,2.6,56,0.0,109.8,5,0.0,1.5
2021-01-01 04:00:00,108,105,106,108,107,0,-4.6,2.6,60,0.0,109.8,5,0.0,1.5
2021-01-01 05:00:00,89,83,99,98,92,0,-5.5,2.1,66,0.0,109.8,5,0.0,1.5
2021-01-01 06:00:00,102,111,110,103,107,0,-5.6,1.5,67,0.0,109.8,5,0.0,1.5
2021-01-01 07:00:00,92,75,48,29,61,0,-6.8,0.6,73,0.0,109.8,5,0.0,1.5
2021-01-01 08:00:00,27,25,22,22,24,0,-5.6,0.0,72,0.0,109.8,5,0.0,1.5
2021-01-01 09:00:00,22,22,22,22,22,0,-3.3,1.2,62,0.0,109.8,5,0.0,1.0
2021-01-01 10:00:00,22,22,22,22,22,0,-1.2,2.1,54,0.0,109.8,5,0.0,1.0
2021-01-01 11:00:00,22,23,28,27,25,0,-0.1,3.5,50,0.0,109.8,5,0.0,1.0
2021-01-01 12:00:00,22,23,22,22,22,0,1.5,2.8,45,0.0,109.8,5,0.0,1.0
2021-01-01 13:00:00,22,23,22,22,22,0,2.6,3.5,44,0.0,109.8,5,0.0,1.0
2021-01-01 14:00:00,22,23,22,23,23,0,2.6,3.3,43,0.0,109.8,5,0.0,1.0
2021-01-01 15:00:00,28,26,23,22,25,0,3.5,3.0,42,0.0,109.8,5,0.0,1.0
2021-01-01 16:00:00,23,23,22,23,23,0,3.0,3.1,43,0.0,109.8,5,0.0,1.0
2021-01-01 17:00:00,22,22,22,23,22,0,2.2,1.6,50,0.0,109.8,5,0.0,1.0
2021-01-01 18:00:00,22,23,27,27,25,0,1.1,1.2,55,0.0,109.8,5,0.0,1.5
2021-01-01 19:00:00,22,22,22,22,22,0,1.3,1.1,55,0.0,109.8,5,0.0,1.5
2021-01-01 20:00:00,22,22,22,22,22,0,1.2,1.8,57,0.0,109.8,5,0.0,1.5
2021-01-01 21:00:00,23,22,22,27,24,0,0.9,1.6,59,0.0,109.8,5,0.0,1.5
2021-01-01 22:00:00,26,22,22,22,23,0,-0.2,1.8,63,0.0,109.8,5,0.0,1.5
2021-01-01 23:00:00,22,22,22,22,22,0,0.0,1.9,57,0.0,109.8,5,0.0,1.5
2021-01-02 00:00:00,63,63,64,63,63,0,-0.7,1.1,60,0.0,109.8,6,0.0,1.5
2021-01-02 01:00:00,96,93,116,113,105,0,-1.7,1.0,64,0.0,109.8,6,0.0,1.5
2021-01-02 02:00:00,106,96,106,107,104,0,-2.5,1.7,66,0.0,109.8,6,0.0,1.5
2021-01-02 03:00:00,92,110,110,109,105,0,-2.4,0.8,72,0.0,109.8,6,0.0,1.5
2021-01-02 04:00:00,108,105,106,108,107,0,-1.4,1.8,74,0.0,109.8,6,0.0,1.5
2021-01-02 05:00:00,89,83,99,98,92,0,-1.1,1.5,74,0.0,109.8,6,0.0,1.5
2021-01-02 06:00:00,102,111,110,103,107,0,-0.7,2.1,68,0.0,109.8,6,0.0,1.5
2021-01-02 07:00:00,92,75,48,29,61,0,-2.1,0.2,74,0.0,109.8,6,0.0,1.5
2021-01-02 08:00:00,27,25,22,22,24,0,-1.9,1.4,65,0.0,109.8,6,0.0,1.5
2021-01-02 09:00:00,22,22,22,22,22,0,0.1,0.9,56,0.0,109.8,6,0.0,1.0
2021-01-02 10:00:00,22,22,22,22,22,0,1.0,1.4,58,0.0,109.8,6,0.0,1.0
2021-01-02 11:00:00,22,23,28,27,25,0,1.4,2.3,43,0.0,109.8,6,0.0,1.0
2021-01-02 12:00:00,22,23,22,22,22,0,2.6,3.1,39,0.0,109.8,6,0.0,1.0
2021-01-02 13:00:00,22,23,22,22,22,0,2.6,4.1,35,0.0,109.8,6,0.0,1.0
2021-01-02 14:00:00,22,23,22,23,23,0,2.6,4.4,31,0.0,109.8,6,0.0,1.0
2021-01-02 15:00:00,28,26,23,22,25,0,2.6,3.5,30,0.0,109.8,6,0.0,1.0
2021-01-02 16:00:00,23,23,22,23,23,0,2.4,3.7,27,0.0,109.8,6,0.0,1.0
2021-01-02 17:00:00,22,22,22,23,22,0,1.2,3.6,26,0.0,109.8,6,0.0,1.0
2021-01-02 18:00:00,22,23,27,27,25,0,0.3,3.0,28,0.0,109.8,6,0.0,1.5
